name,num,coef
a,8,0.4407260491708988
a,169,0.4963603484166428
a,473,0.4575273103273069
a,1446,0.48492936093563155
a,2166,0.4804706398720341
a,6272,0.39077478381041997
a,6274,0.3475092500301468
a,6276,0.42802046930134485
a,6283,0.48069557989839595
a,6294,0.4020290863905305
a,6297,0.4703871333902682
a,6300,0.4342080862331681
a,6306,0.45743268979352997
a,6308,0.46157178553543704
a,6312,0.4914937226113859
a,6316,0.45094295987192706
a,6323,0.47347464799783956
a,6326,0.4945421043514316
a,6332,0.4511839476484275
a,6339,0.49934471044221485
a,6355,0.3779270079849389
a,6357,0.4890981267043605
a,6361,0.468718706654954
a,6375,0.3773848847584761
a,6391,0.49016395835196
a,6392,0.4126610393415814
a,6394,0.37211686326219134
a,6397,0.4988509763161288
a,6417,0.38854545850884226
a,6418,0.47633302924367255
a,6419,0.49339844006029315
a,7346,0.4978589830702558
a,7403,0.4779927957469679
a,7429,0.4689126966437116
a,7432,0.4396373978294634
a,7434,0.4267245012840491
a,7436,0.38886183478215974
a,7445,0.46837213572104897
a,7450,0.49502137879721647
a,7459,0.46266783271327927
a,7463,0.4267245012840491
a,7471,0.4369427579132692
a,7477,0.39207371138146463
a,7489,0.45973217254389953
a,7492,0.3812134088088022
a,7512,0.4883136314844186
a,7518,0.4956129200358505
a,7531,0.49332366903247027
a,7532,0.4846752702419239
a,7537,0.48124380001915024
a,7539,0.41335200599799254
a,9690,0.4955791805356173
a,10434,0.48239851413718565
b,5926,0.37776132704611665
b,5944,0.3607634045443637
b,5950,0.4977122199901669
b,5955,0.41605484555883354
b,5966,0.44850041362995896
b,5971,0.42314762520316584
b,5980,0.4858819476138824
b,5986,0.4957007981764501
b,5998,0.4446877837312591
b,6000,0.4872409152291119
b,6013,0.4589975117896617
b,6031,0.4798983913913683
b,6034,0.4778054354933989
b,6047,0.461050405634932
b,6055,0.43725864841099615
b,6057,0.3885909173387719
c,6618,0.3825831697602736
c,6619,0.4867922967791406
c,6634,0.43823927001309665
c,6641,0.4400392568560859
c,6643,0.4895168415214637
c,6654,0.41683200163601464
c,6657,0.4931650280613251
c,6658,0.41274475665713123
c,6675,0.4873275466229736
c,6691,0.4555810300494719
c,6713,0.4324695555708577
c,6731,0.43117909300450663
d,2354,0.4943649961483696
d,6713,0.494939043777782
d,8513,0.49759301911754644
e,188,0.4965682427466915
e,730,0.4915494891534115
e,935,0.4795473518284259
e,1022,0.47892179338097657
e,2354,0.47092004453540065
e,5579,0.48132787917042313
e,5788,0.4999797023926031
e,6846,0.4980123526159476
e,8513,0.47253460882797577
e,10554,0.4844396311917213
f,5440,0.4822333508332822
f,6064,0.49875384463787287
g,5294,0.4986197937069929
g,5438,0.4828108736012661
g,7780,0.44991255507040834
g,7808,0.4257685081084166
g,7815,0.49036206962290385
g,7816,0.42914788036146995
g,7822,0.46836396361870675
g,7823,0.44869539494159283
g,7829,0.4889525976972865
g,7851,0.4231606262162721
g,7856,0.41038266815623825
g,7861,0.4449568191618508
g,7862,0.459199081204081
g,7884,0.4061255831654038
g,7888,0.43160406707120696
g,7889,0.4039064632314873
g,7896,0.44432866256943115
g,7906,0.43573547174992566
g,7916,0.43691045393809746
g,7918,0.4748593047850832
g,7919,0.4968808064434716
g,7921,0.37550928890261354
g,7926,0.4955708133277164
g,8641,0.49325840182817304
g,8669,0.4746694137974855
h,372,0.49840304723670054
h,5926,0.40013744979040283
h,5944,0.37417250338482405
h,5950,0.46324084705731233
h,5955,0.3945193285936274
h,5966,0.4745861078192691
h,5968,0.4788829160640993
